IDech,typeVeg,rep,height,embase,cal_val,localisation
48,caluna,h7,68,NA,cal,lab
48,caluna,h8,NA,NA,cal,lab
48,caluna,h9,NA,NA,cal,lab
48,caluna,h10,NA,NA,cal,lab
48,caluna,h11,NA,NA,cal,lab
48,caluna,h12,NA,NA,cal,lab
49,caluna,h1,52,NA,cal,lab
49,caluna,h2,46,NA,cal,lab
49,caluna,h3,52,NA,cal,lab
49,caluna,h4,50,NA,cal,lab
49,caluna,h5,36,NA,cal,lab
49,caluna,h6,NA,NA,cal,lab
49,caluna,h7,NA,NA,cal,lab
49,caluna,h8,NA,NA,cal,lab
49,caluna,h9,NA,NA,cal,lab
49,caluna,h10,NA,NA,cal,lab
49,caluna,h11,NA,NA,cal,lab
49,caluna,h12,NA,NA,cal,lab
50,caluna,h1,41,NA,cal,lab
50,caluna,h2,49,NA,cal,lab
50,caluna,h3,37,NA,cal,lab
50,caluna,h4,38,NA,cal,lab
50,caluna,h5,30,NA,cal,lab
50,caluna,h6,43,NA,cal,lab
50,caluna,h7,45,NA,cal,lab
50,caluna,h8,40,NA,cal,lab
50,caluna,h9,33,NA,cal,lab
50,caluna,h10,31,NA,cal,lab
50,caluna,h11,18,NA,cal,lab
50,caluna,h12,50,NA,cal,lab
51,caluna,h1,48,NA,cal,lab
51,caluna,h2,42,NA,cal,lab
51,caluna,h3,48,NA,cal,lab
51,caluna,h4,39,NA,cal,lab
51,caluna,h5,39,NA,cal,lab
51,caluna,h6,47,NA,cal,lab
51,caluna,h7,49,NA,cal,lab
51,caluna,h8,NA,NA,cal,lab
51,caluna,h9,NA,NA,cal,lab
51,caluna,h10,NA,NA,cal,lab
51,caluna,h11,NA,NA,cal,lab
51,caluna,h12,NA,NA,cal,lab
52,caluna,h1,61,NA,cal,lab
52,caluna,h2,78,NA,cal,lab
52,caluna,h3,,NA,cal,lab
52,caluna,h4,NA,NA,cal,lab
52,caluna,h5,NA,NA,cal,lab
52,caluna,h6,NA,NA,cal,lab
52,caluna,h7,NA,NA,cal,lab
52,caluna,h8,NA,NA,cal,lab
52,caluna,h9,NA,NA,cal,lab
52,caluna,h10,NA,NA,cal,lab
52,caluna,h11,NA,NA,cal,lab
52,caluna,h12,NA,NA,cal,lab
53,caluna,h1,56,NA,cal,lab
53,caluna,h2,55,NA,cal,lab
53,caluna,h3,55,NA,cal,lab
53,caluna,h4,57,NA,cal,lab
53,caluna,h5,25,NA,cal,lab
53,caluna,h6,45,NA,cal,lab
53,caluna,h7,64,NA,cal,lab
53,caluna,h8,69,NA,cal,lab
53,caluna,h9,NA,NA,cal,lab
53,caluna,h10,NA,NA,cal,lab
53,caluna,h11,NA,NA,cal,lab
53,caluna,h12,NA,NA,cal,lab
54,caluna,h1,73,NA,cal,lab
54,caluna,h2,56,NA,cal,lab
54,caluna,h3,62,NA,cal,lab
54,caluna,h4,79,NA,cal,lab
54,caluna,h5,44,NA,cal,lab
54,caluna,h6,NA,NA,cal,lab
54,caluna,h7,NA,NA,cal,lab
54,caluna,h8,NA,NA,cal,lab
54,caluna,h9,NA,NA,cal,lab
54,caluna,h10,NA,NA,cal,lab
54,caluna,h11,NA,NA,cal,lab
54,caluna,h12,NA,NA,cal,lab
55,caluna,h1,46,NA,cal,lab
55,caluna,h2,74,NA,cal,lab
55,caluna,h3,54,NA,cal,lab
55,caluna,h4,38,NA,cal,lab
55,caluna,h5,44,NA,cal,lab
55,caluna,h6,63,NA,cal,lab
55,caluna,h7,63,NA,cal,lab
55,caluna,h8,NA,NA,cal,lab
55,caluna,h9,NA,NA,cal,lab
55,caluna,h10,NA,NA,cal,lab
55,caluna,h11,NA,NA,cal,lab
55,caluna,h12,NA,NA,cal,lab
56,caluna,h1,53,NA,cal,lab
56,caluna,h2,66,NA,cal,lab
56,caluna,h3,46,NA,cal,lab
56,caluna,h4,58,NA,cal,lab
56,caluna,h5,40,NA,cal,lab
56,caluna,h6,46,NA,cal,lab
